회사명,종목코드,업종,주요제품
디티앤씨,187220,기타 과학기술 서비스업,전기전자규격 인증서비스
셀바스헬스케어,208370,의료용 기기 제조업,"체성분측정기, 혈압계, 점자정보단말기"
엔에이치SL스팩,207720,금융지원 서비스업,기업 인수 합병
정다운,208140,"도축, 육류 가공 및 저장 처리업",기업 인수 및 합병
하이로닉,149980,의료용 기기 제조업,피부미용 의료기기
랩지노믹스,084650,자연과학 및 공학 연구개발업,체외진단 서비스 및 제품
에이디테크놀로지,200710,반도체 제조업,주문형 반도체
비씨월드제약,200780,의약품 제조업,"마취통증약, 순환계약, 항생제, 기타처방약"
미스터블루,207760,기타 정보 서비스업,"온라인 만화 콘텐츠 서비스 및 제공, 만화 출판"
알테오젠,196170,자연과학 및 공학 연구개발업,바이오시밀러 및 바이오베터
엔터메이트,206400,소프트웨어 개발 및 공급업,"웹게임, 모바일게임"
SKC코오롱PI,178920,플라스틱제품 제조업,PI필름
대창스틸,140520,1차 철강 제조업,"냉연강판, 이중바닥재"
에프엔씨엔터,173940,오디오물 출판 및 원판 녹음업,"콘서트, 음반/음원"
하이제2호스팩,205470,금융지원 서비스업,기업인수합병
케이티비스팩1호,204650,금융지원 서비스업,기업인수
텔콘,200230,통신 및 방송 장비 제조업,"RF 통신부품(케이블 어셈블리, 커넥터 등)"
파티게임즈,194510,소프트웨어 개발 및 공급업,모바일 게임
지엘팜텍,204840,자연과학 및 공학 연구개발업,의약품 연구개발업
디에이테크놀로지,196490,특수 목적용 기계 제조업,2차전지설비
유안타제1호스팩,204620,금융지원 서비스업,기업인수합병
액션스퀘어,205500,소프트웨어 개발 및 공급업,모바일게임
현대에이블스팩1호,204760,금융지원 서비스업,기업인수합병
엑셈,205100,소프트웨어 개발 및 공급업,"DB, E2E 성능관리 SW"
테고사이언스,191420,기초 의약물질 및 생물학적 제제 제조업,피부세포치료제
슈피겐코리아,192440,그외 기타 제품 제조업,"핸드폰 케이스, 액정보호필름"
테라셈,182690,반도체 제조업,이미지센서 패키징
영우디에스피,143540,특수 목적용 기계 제조업,OLED/LCD 디스플레이 검사장비
대우스팩2호,204440,금융지원 서비스업,기업인수합병
드림시큐리티,203650,소프트웨어 개발 및 공급업,솔루션
메디아나,041920,의료용 기기 제조업,"환자감시장치, 자동심장 제세동기(AED)"
데브시스터즈,194480,소프트웨어 개발 및 공급업,모바일 게임(쿠키런)
프로스테믹스,203690,기초 의약물질 및 생물학적 제제 제조업,화장품
감마누,192410,통신 및 방송 장비 제조업,기지국 안테나 및 인빌딩 안테나
고려시멘트,198440,"시멘트, 석회, 플라스터 및 그 제품 제조업",기업인수합병
신화콘텍,187270,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","커넥터(정보통신기기용, 디스플레이용, HDD용 등)"
파버나인,177830,전자부품 제조업,"알루미늄 소재 TV 외관재(프레임, 스탠드)"
덕신하우징,090410,"구조용 금속제품, 탱크 및 증기발생기 제조업",일체형 데크플레이트 등
창해에탄올,004650,알콜음료 제조업,"주정(발효주정, 정제주정) 등"
윈하이텍,192390,"구조용 금속제품, 탱크 및 증기발생기 제조업",데크 플레이트(건설용거푸집)
아진엑스텍,059120,반도체 제조업,"전자집적회로, 모션제어칩"
콜마비앤에이치,200130,기초 의약물질 및 생물학적 제제 제조업,기업인수합병
트루윈,105550,전자부품 제조업,"자동차용 센서(APS, TPS, IAPS, SLS)"
우성아이비,194610,그외 기타 제품 제조업,경기 레저용 물놀이 기구
온다 엔터테인먼트,196450,"안경, 사진장비 및 기타 광학기기 제조업",휴대폰용 카메라 렌즈모듈 제조
캐스텍코리아,071850,자동차 부품 제조업,자동차용 터보차저 부품
나노,187790,기초화학물질 제조업,세라믹스제품
케이사인,192250,소프트웨어 개발 및 공급업,
오이솔루션,138080,통신 및 방송 장비 제조업,광트랜시버
인터파크,108790,무점포 소매업,"온라인쇼핑, 도서, ENT(공연티켓 등), 투어"
한국정보인증,053300,소프트웨어 개발 및 공급업,"공인인증서, PKI솔루션 등"
솔루에타,154040,전자부품 제조업,전자파 차폐소재
이지웰페어,090850,소프트웨어 개발 및 공급업,선택적복리후생서비스
SGA솔루션즈,184230,소프트웨어 개발 및 공급업,보안솔루션
기가레인,049080,특수 목적용 기계 제조업,RF통신부품 및 반도체 장비
인트로메딕,150840,의료용 기기 제조업,"캡슐내시경, 일회용 연성내시경"
알티캐스트,085810,소프트웨어 개발 및 공급업,"디지털 방송용 소프트웨어(셋톱박스용 미들웨어 등), CAS(수신제한시스템)"
현대공업,170030,자동차 부품 제조업,"시트패드, 암레스트, 헤드레스트"
엔브이에이치코리아,067570,자동차 부품 제조업,"헤드라이너, NVH부품"
디엠티,134580,통신 및 방송 장비 제조업,셋톱박스
큐브엔터,182360,오디오물 출판 및 원판 녹음업,"음반음원, 콘서트, 아티스트매니지먼트"
라이온켐텍,171120,기타 화학제품 제조업,"합성왁스, 인조대리석"
램테크놀러지,171010,기초화학물질 제조업,"AMOLED 마스크 세정액, 반도체 식각액, 반도체 박리액"
미동앤씨네마,161570,영상 및 음향기기 제조업,"차량용 블랙박스, 차량운행보조시스템"
에이씨티,138360,기타 화학제품 제조업,기능성 화장품 원료
해성옵틱스,076610,"안경, 사진장비 및 기타 광학기기 제조업",휴대폰용 렌즈모듈 및 카메라모듈
내츄럴엔도텍,168330,자연과학 및 공학 연구개발업,"백수오 여성호르몬제, 백수오등복합추출물(원료)"
테스나,131970,"그외 기타 전문, 과학 및 기술 서비스업",반도체 테스트
파수닷컴,150900,소프트웨어 개발 및 공급업,기업용 문서보안 솔루션
엘티씨,170920,기초화학물질 제조업,FPD(LCD/OLED) 및 반도체용 박리액
