회사명,종목코드,업종,주요제품
에스넷,038680,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","네트워크장비 설치 및 납품, 유지보수"
에스엠,041510,오디오물 출판 및 원판 녹음업,"음반(CD,MC),연예 대리"
쌍용정보통신,010280,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","시스템통합(SI),네트워크 설계 및 구축,시스템운영(SM)"
쎄니트,037760,1차 철강 제조업,스테인레스 냉연강판
대성미생물,036480,의약품 제조업,"동물용 의약품, 미생물제재"
에코플라스틱,038110,자동차 부품 제조업,BUMPER 및 자동차TRIM류
제이콘텐트리,036420,광고업,"신문, 피혁의류"
케이엠더블유,032500,통신 및 방송 장비 제조업,RF 부품 및 중계기
화성,039610,일반 목적용 기계 제조업,"가스밸브, 매몰용접용 볼밸브, 온수분배기"
경남스틸,039240,1차 철강 제조업,"냉연강판,아연도강판, 산세코일, 열연아연도금강판, 전기아연도금강판 등"
마크로젠,038290,"그외 기타 전문, 과학 및 기술 서비스업","DNA Sequencing, Microarray, Genetically Engineered Mouse"
희림,037440,"건축기술, 엔지니어링 및 관련기술 서비스업",설계 및 감리용역
레드캡투어,038390,여행사 및 기타 여행보조 서비스업,"S/W개발 및 공급, DB개발"
GS홈쇼핑,028150,텔레비전 방송업,CATV홈쇼핑
솔브레인,036830,기타 화학제품 제조업,"반도체,디스플레이,2차전지 공정용 화학제품"
에프에스티,036810,전자부품 제조업,"펠리클(반도체부품),칠러장비,반도체유통"
코맥스,036690,통신 및 방송 장비 제조업,"홈네트워크시스템,CCTV 방송설비"
EG,037370,기타 전문 도매업,"산화철, 대기수처리방지시설, 무역"
버추얼텍,036620,기타 전문 도매업,"고지유통, ERP시스템 운영"
성도이엔지,037350,"건축기술, 엔지니어링 및 관련기술 서비스업","반도체크린룸 시공, 반도체장비제조"
제일테크노스,038010,"구조용 금속제품, 탱크 및 증기발생기 제조업",DECK PKATE
무림SP,001810,"펄프, 종이 및 판지 제조업","아트지,CCP지"
세종텔레콤,036630,전기통신업,WLL/GPS/위성DMB/VoIP 단말기
심텍홀딩스,036710,"회사본부, 지주회사 및 경영컨설팅 서비스업",반도체용 인쇄회로기판
파세코,037070,가정용 기기 제조업,"석유스토브, 식기건조기,식기세척기"
영풍정밀,036560,일반 목적용 기계 제조업,"펌프, 벨브, 공사,주조 등"
이테크건설,016250,건물 건설업,"건축공사, 플랜트설비, 토목공사"
KTH,036030,전기통신업,"푸딩시리즈,아임IN 등 모바일서비스"
서희건설,035890,건물 건설업,"토목, 건축, 부동산임대업"
주성엔지니어링,036930,특수 목적용 기계 제조업,LP CVD
다우데이타,032190,기계장비 및 관련 물품 도매업,"NT SERVER, PC SERVER, 바이러스 백신프로그램, 그래픽 프로그램등"
동진쎄미켐,005290,기초화학물질 제조업,"반도체,LCD용재료(감광제,봉지제),발포제"
선광,003100,기타 운송관련 서비스업,"항만하역, 해사(바다모래)"
씨티엘,036170,반도체 제조업,"업반도체제조용자동온도조절장치,항온항습기"
영인프런티어,036180,기계장비 및 관련 물품 도매업,"무선통신,방송및응용장치제조업"
제이에스티나,026040,귀금속 및 장신용품 제조업,"주얼리,가죽제품,손목시계"
한국팩키지,037230,"골판지, 종이 상자 및 종이 용기 제조업",카톤팩
삼지전자,037460,통신 및 방송 장비 제조업,"통신기기,정보기기,BACKLIGHTUNIT사업"
우리조명,037400,전구 및 조명장치 제조업,"변환장치 제조업 백열전구, 형광등"
SK머티리얼즈,036490,기초화학물질 제조업,"반도체 및 디스플레이용 특수가스(NF3, SiH4, WF6 등)"
네패스,033640,반도체 제조업,반도체및TFT-LCD용현상액
인지디스플레,037330,전자부품 제조업,"TFT-LCDCHASSIS,TFT-LCDLAMPREFLECTOR,ICLEADFRAME,TRLEADFRAME"
위지트,036090,특수 목적용 기계 제조업,LCD 반도체
유니셈,036200,특수 목적용 기계 제조업,반도체장비(DryGasScrubber)
유성티엔에스,024800,육상 여객 운송업,"운송,C형강,차량정비"
이매진아시아,036260,"영화, 비디오물, 방송프로그램 제작 및 배급업",연예인 매니지먼트
코리아나,027050,기타 화학제품 제조업,화장품
SCI평가정보,036120,기타 사업지원 서비스업,"채권추심,신용평가,신용조회"
에이원앤,035290,"서적, 잡지 및 기타 인쇄물 출판업","방과후컴퓨터상설반,교재및CD"
서울전자통신,027040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전자변성기, 무역업(트랜스포머자재)"
대성창투,027830,투자기관,투자서비스
예림당,036000,"서적, 잡지 및 기타 인쇄물 출판업",무선가입자망 단말기 및 차량용핸즈프리
CJ오쇼핑,035760,텔레비전 방송업,"의류, 생활주방, 가전제품, 보석, 기타"
이지바이오,035810,동물용 사료 및 조제식품 제조업,발효식품
기산텔레콤,035460,통신 및 방송 장비 제조업,"광모듈, 에코 켄슬러, 중계기, VoIP Server등"
마제스타,035480,유원지 및 기타 오락관련 서비스업,카지노
카카오,035720,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업",인터넷 서비스(인터넷 광고)
바른손이앤에이,035620,소프트웨어 개발 및 공급업,게임 개발 및 서비스
솔본,035610,"회사본부, 지주회사 및 경영컨설팅 서비스업",인터넷전화 서비스 및 00770 국제전화서비스
시공테크,020710,전문디자인업,"전시,영상,테마파크,멀티미디어관련업"
신일제약,012790,의약품 제조업,투어펜플라스타
조아제약,034940,의약품 제조업,"의약품,의약부외품,보건보조식품,위생용품의제조판매"
인성정보,033230,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",넷트워크 관련 장비 및 솔루션
인터파크홀딩스,035080,"회사본부, 지주회사 및 경영컨설팅 서비스업",지주회사
동국산업,005160,1차 철강 제조업,"철강무역,강판제품제조"
매일유업,005990,낙농제품 및 식용빙과류 제조업,유제품
해성산업,034810,부동산 임대 및 공급업,시설관리 용역 및 부동산 임대
녹십자셀,031390,기초 의약물질 및 생물학적 제제 제조업,항암세포치료제
코리드,033430,기타 전문 도매업,몰리브덴 등
한국정보통신,025770,전기통신업,신용카드조회기
파라텍,033540,특수 목적용 기계 제조업,소방기기
동성화인텍,033500,기초화학물질 제조업,초저온 보냉재
드래곤플라이,030350,소프트웨어 개발 및 공급업,온라인게임
디케이디앤아이,033310,기타 금속가공제품 제조업,산업용자동제어반기기
엠케이전자,033160,전자부품 제조업,반도체용세금선
제이씨현시스템,033320,기계장비 및 관련 물품 도매업,"메인보드, 그래픽카드"
포스코엠텍,009520,1차 철강 제조업,대강등포장재료
스페코,013810,특수 목적용 기계 제조업,아스팔트믹싱플랜트
좋은사람들,033340,봉제의복 제조업,패션내의
모아텍,033200,전자부품 제조업,위치제어용초정및소형모터
코웰패션,033290,의복 액세서리 제조업,"콘덴서,저항기"
코콤,015710,통신 및 방송 장비 제조업,비디오도어폰
이디,033110,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",전자계측기
제룡전기,033100,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","송배전용금구류,변압기"
제이엠아이,033050,기록매체 복제업,CD복제품
디지틀조선,033130,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업",위성서비스
바이온,032980,음·식료품 및 담배 도매업,"배너,타포린,화장품,자동차부품"
와이지-원,019210,기타 금속가공제품 제조업,"엔드밀, 탭, 드릴"
특수건설,026150,토목 건설업,보링
하림홀딩스,024660,"회사본부, 지주회사 및 경영컨설팅 서비스업",비금융지주회사
아이즈비전,031310,무점포 소매업,"홈쇼핑(아이즈홈쇼핑), 국제전화(아이즈텔), 가정용유무선 전화기판매(TopPhone)"
동일기연,032960,전자부품 제조업,EMI
소프트센,032680,기계장비 및 관련 물품 도매업,전산기기 및 정보통신공사
원익,032940,기계장비 및 관련 물품 도매업,반도체용석영
원풍물산,008290,봉제의복 제조업,남성용신사복
삼진,032750,통신 및 방송 장비 제조업,리모트컨트롤러
GMR 머티리얼즈,032860,금속 및 비금속 원료 재생업,철스크랩
비트컴퓨터,032850,소프트웨어 개발 및 공급업,의료정보시스템
엠젠플러스,032790,기계장비 및 관련 물품 도매업,"Bio 이종장기 사업, ICT 프린터 현상기"
판타지오,032800,창작 및 예술관련 서비스업,교육서비스
유비케어,032620,소프트웨어 개발 및 공급업,"의사랑,유팜,미소몰"
피델릭스,032580,반도체 제조업,PSRAM 및 LPSDRAM
TJ미디어,032540,영상 및 음향기기 제조업,영상음향반주기
휴맥스홀딩스,028080,"회사본부, 지주회사 및 경영컨설팅 서비스업",위성방송수신기
삼일,032280,도로 화물 운송업,운송및하역수입
뉴인텍,012340,전자부품 제조업,콘덴서
오스템,031510,자동차 부품 제조업,휠
C&S자산관리,032040,기타 사업지원 서비스업,경비
에스마크,030270,방적 및 가공사 제조업,"면사,혼방사,코마사"
엔에스엔,031860,상품 종합 도매업,FLC
피에스케이,031980,특수 목적용 기계 제조업,감광액제거기
세보엠이씨,011560,건물설비 설치 공사업,"건설관련설비, ACESS FLOOR , 소음기 , CHAMMBER , PFP UNIT, BY-PASS UNIT , DUCT , 철구조물 ."
한일단조,024740,자동차 부품 제조업,단조품
양지사,030960,인쇄 및 인쇄관련 산업,다이어리
보타바이오,026260,상품 종합 도매업,컴퓨터VGA보드
원익홀딩스,030530,특수 목적용 기계 제조업,가스캐비닛
한글과컴퓨터,030520,소프트웨어 개발 및 공급업,오피스소프트웨어
메이슨캐피탈,021880,기타 금융업,리스수입
대호피앤씨,021040,1차 철강 제조업,냉간압조용선재
바른테크놀로지,029480,통신 및 방송 장비 제조업,"네트워크 통합사업,네트워크 장비, 光 전송장비, S/W 제조, 네트워크관리"
스페로 글로벌,028040,기타 비금속 광물제품 제조업,규사
에이치엘비,028300,선박 및 보트 건조업,"각종 산업용 밸브류, 제지·제철용기계,기타 특수목적용 산업기계"
팜스토리,027710,동물용 사료 및 조제식품 제조업,사료
삼보판지,023600,"펄프, 종이 및 판지 제조업","골판지,골판지상자"
삼목에스폼,018310,"구조용 금속제품, 탱크 및 증기발생기 제조업","유로폼,갱폼,알루미늄폼,특수폼,유리온실사업"
에이스침대,003800,가구 제조업,침대
원익큐브,014190,기타 전문 도매업,"이에이엠, 2-헤마, 비에이엠, 엠엠에이, 아스팔트슁글"
리드코프,012700,기타 전문 도매업,화공약품운반
유니슨,018000,일반 목적용 기계 제조업,"납면진받침, 탄성받침·포트받침, 신축이음장치, 소음·진동 방진제품, 파이프행거·서포트"
에머슨퍼시픽,025980,스포츠 서비스업,양가죽원단
광진실업,026910,1차 철강 제조업,마봉
인터엠,017250,영상 및 음향기기 제조업,음향기기
성우하이텍,015750,자동차 부품 제조업,자동차범퍼
대신정보통신,020180,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","금융S/W, OKnet, DS-NET, Output 솔루션"
서부T&D,006730,상품 종합 도매업,석유류판매
동신건설,025950,토목 건설업,토목
동화기업,025900,나무제품 제조업,"PB, MDF, 표면재,온돌마루, 창호, 도어 등"
신라에스지,025870,수산물 가공 및 저장 처리업,수산물도매
케이씨피드,025880,동물용 사료 및 조제식품 제조업,사료
한탑,002680,"곡물가공품, 전분 및 전분제품 제조업","소맥분(밀가루),배합사료"
한국선재,025550,1차 철강 제조업,철강선재류
대성엘텍,025440,영상 및 음향기기 제조업,카멀티미디어 및 TFT-LCD 부품제조..
시노펙스,025320,전자부품 제조업,"방청지,방수지,필터"
PN풍년,024940,기타 금속가공제품 제조업,압력솥
삼천리자전거,024950,가정용품 도매업,자전거
보령메디앙스,014100,기타 화학제품 제조업,"누크, 비비생활용품, 비앙또마망, 지에닉, 닥터 아토피스"
갑을메탈,024840,1차 비철금속 제조업,모터코어
경창산업,024910,자동차 부품 제조업,"각종 케이블, 개폐랫치, 리저브탱크, 밴드류, 페달류, 오토트랜스미션부품, 시트용 단품"
대륙제관,004780,기타 금속가공제품 제조업,휴대용부탄가스 및 금속포장용기
동원개발,013120,건물 건설업,도급공사
세원물산,024830,자동차 부품 제조업,라디에이터서포터
이화전기,024810,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",무정전전원장치
케이피에프,024880,기타 금속가공제품 제조업,볼트류
KB오토시스,024120,자동차 부품 제조업,브레이크패드
신원종합개발,017000,건물 건설업,토건
흥구석유,024060,기타 전문 도매업,휘발유등
대한약품,023910,의약품 제조업,수액제
아트라스BX,023890,일차전지 및 축전지 제조업,축전지
이화공영,001840,건물 건설업,도급공사
풍국주정,023900,알콜음료 제조업,발효주정
대림제지,017650,기타 종이 및 판지 제품 제조업,골판지원지
대한광통신,010170,절연선 및 케이블 제조업,광섬유
동일철강,023790,1차 철강 제조업,찬넬
플레이위드,023770,소프트웨어 개발 및 공급업,게임소프트웨어
한국캐피탈,023760,기타 금융업,리스수수료
한일사료,005860,동물용 사료 및 조제식품 제조업,배합사료
서연전자,012860,자동차 부품 제조업,"스마트키,스위치"
CNH,023460,투자기관,투자자문
국영지앤엠,006050,유리 및 유리제품 제조업,강화유리
아이이,023430,기타 전문 도매업,벽지
유진기업,023410,"시멘트, 석회, 플라스터 및 그 제품 제조업",레미콘
제일제강,023440,1차 철강 제조업,"연강선재, 경강선재, CHQ외"
보성파워텍,006910,"구조용 금속제품, 탱크 및 증기발생기 제조업",송배전용자재
지엠피,018290,컴퓨터 및 주변장치 제조업,라미네이팅필름
태광,023160,1차 철강 제조업,"각종 배관자재, 관이음쇠류 제조 및 판매,발전기부품 및 판매업,반도체장비 제조업 및 무역도매"
영신금속,007530,기타 금속가공제품 제조업,"볼트, 나사"
신라섬유,001000,부동산 임대 및 공급업,부동산
원일특강,012620,1차 철강 제조업,특수강
서한,011370,건물 건설업,"건축, 토목"
바른손,018700,음식점업,지제품
부방,014470,"회사본부, 지주회사 및 경영컨설팅 서비스업","수정진동자, 수정발진기, 전기보온밥솥 등"
대명코퍼레이션,007720,상품 종합 도매업,"부동산 임대, 매매"
대양제지,006580,"펄프, 종이 및 판지 제조업",골판지원지
유니크,011320,자동차 부품 제조업,"EGR밸브, 유압솔레노이드밸브, 퓨얼벤트밸브, 퓨얼컷트밸브, 체크밸브, 케니스타 등"
진로발효,018120,알콜음료 제조업,주정
청보산업,013720,자동차 부품 제조업,엔진부품
삼보산업,009620,1차 비철금속 제조업,알미늄괴
푸드웰,005670,"과실, 채소 가공 및 저장 처리업","깐밤, 통조림류, 딸기시럽류, 음료제품 등"
푸른저축은행,007330,은행 및 저축기관,대출이자
피제이전자,006140,의료용 기기 제조업,EMS Business(의료용기기제조외)
그랜드백화점,019010,종합 소매업,"백화점, 할인점"
엠에스씨,009780,기타 식품 제조업,식품첨가물
데코앤이,017680,봉제의복 제조업,숙녀복
행남생활건강,008800,도자기 및 기타 요업제품 제조업,자기
대동금속,020400,금속 주조업,"농기계 주문제품 및 상용차 실린더 헤드, 경승용차 실린더 브록 외"
광림,014200,자동차용 엔진 및 자동차 제조업,"전기공사용, 운송용, 환경용 특수차량 및 건설용 장비인 유압크레인을 생산·판매하는 제조업체"
대원산업,005710,자동차 부품 제조업,자동차시트
큐캐피탈,016600,기타 금융업,벤처투자
한국가구,004590,가정용품 도매업,소파
포비스티앤씨,016670,기타 전문 도매업,"h/w,s/w개발"
중앙에너비스,000440,기타 전문 도매업,석유류도소매
삼륭물산,014970,"골판지, 종이 상자 및 종이 용기 제조업",카톤팩
경동제약,011040,의약품 제조업,"로사졸정, 시사프렌정, 디로핀정, 타론정.주"
원풍,008370,플라스틱제품 제조업,합성수지
네이처셀,007390,비알콜음료 및 얼음 제조업,잔치집식혜
삼일기업공사,002290,건물 건설업,도급공사
일지테크,019540,자동차 부품 제조업,"차체(라지에타, 팩케이지, 씨트 크로스, 대쉬 판넬)"
한일화학,007770,기초화학물질 제조업,산화아연
한국알콜,017890,기타 화학제품 제조업,주정
대주산업,003310,동물용 사료 및 조제식품 제조업,배합사료
글로본,019660,상품 종합 도매업,벤처캐피탈
세명전기,017510,기타 금속가공제품 제조업,"154kV, 345kV, 765kV 송전,변전,배전용 금구류, 섬유직기용 섹셔날 빔"
에이티넘인베스트,021080,투자기관,벤처캐피탈
대동기어,008830,특수 목적용 기계 제조업,"기어, 베벨기어, 축, 엑셀, T/M, 유성감속기, 기타조립품"
피에스텍,002230,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",자동차부품
코센,009730,1차 철강 제조업,"스테인리스파이프, 선박용배관제작"
카스,016920,기계장비 및 관련 물품 도매업,"전자저울,로드셀"
하이록코리아,013030,1차 철강 제조업,관이음쇠
SBI인베스트먼트,019550,투자기관,벤처캐피탈
엠벤처투자,019590,투자기관,벤처캐피탈
제미니투자,019570,투자기관,벤처캐피탈
모헨즈,006920,"시멘트, 석회, 플라스터 및 그 제품 제조업",레미콘
