name,code,roe,pbr,per
미래에셋대우,006800,1.66,0.78,86.96
삼성화재해상보험,000810,4.47,1.09,16.59
삼양식품,003230,5.41,2.12,20.26
한화손해보험,000370,4.2,0.78,6.2
NI스틸,008260,3.49,1.44,12.22
오리온,001800,17.98,2.64,20.19
깨끗한나라,004540,2.78,0.98,27.29
코오롱,002020,1.81,1.69,49.45
삼성전자,005930,4.05,1.8,17.51
쌍용양회공업,003410,3.37,0.82,7.38
SPC삼립,005610,3.68,5.46,33.38
흥국화재,000540,1.98,0.58,10.14
우리종금,010050,2.42,2.01,14.6
현대자동차,005380,1.99,0.66,8.74
모나미,005360,3.1,1.01,13.33
한화케미칼,009830,5.98,0.94,6.63
롯데제과,004990,1.3,1.16,40.62
서울식품공업,004410,1.36,2.23,200
기아자동차,000270,2.89,0.59,5.77
효성,004800,4.41,1.52,12.72
CJ,001040,1.64,1.47,27.19
동부화재해상보험,005830,4.14,1.04,9.29
대웅,003090,2.61,1.09,36.07
동양물산기업,002900,1.48,1.02,36.96
진양산업,003780,2.26,1.36,36.02
영진약품공업,003520,1.4,18.65,464.58
롯데푸드,002270,1.14,0.94,15.16
아모레퍼시픽그룹,002790,3.7,3.94,34.8
제주은행,006220,2.46,0.52,6.97
롯데손해보험,000400,3.58,0.82,14.24
대한제분,001130,3.69,0.45,11.31
대상,001680,2.87,1.14,14.97
LG,003550,5.3,1,12.94
코리안리,003690,1.88,0.66,9.06
한국주철관공업,000970,2.27,0.99,19.39
엔피씨,004250,3.36,1.12,6.77
한국유리공업,002000,1.02,0.59,13.05
세아제강,003030,1.32,0.42,8.43
대한제당,001790,1.42,0.55,11.58
한국타이어월드와이드,000240,1.55,0.72,7.81
유한양행,000100,1.97,1.67,17.16
메리츠화재,000060,6.61,1.32,9.03
하나머티리얼즈,166090,6.96,3.34,15.49
AP시스템,265520,5.87,4.93,19.13
이엘피,063760,12.67,4.14,9.97
서진시스템,178320,2.74,2.37,7.54
코미코,183300,6.89,4.42,15.91
에스디생명공학,217480,4.34,5,11.88
에프엔에스테크,083500,1.32,3.18,8.96
서플러스글로벌,140070,4.94,1.67,6.54
퓨전데이타,195440,1.98,3.23,47.74
DSC인베스트먼트,241520,4.64,5.79,67.95
티에스인베스트먼트,246690,1.73,3.27,50.58
마이크로프랜드,147760,2.22,2.74,20.28
현성바이탈,204990,2.55,3.87,23.76
오션브릿지,241790,4.94,3.69,13.16
뉴파워프라즈마,144960,5.45,2.38,16.86
